0, >: 1, >, R
7, y: 7, i, R
7, i: 7, k, R
7, k: 7, d, R
7, d: 7, m, R
7, m: 7, q, R
7, q: 7, p, R
7, e: 7, o, R
7, o: 7, w, R
7, w: 7, j, R
7, j: 7, g, R
7, g: 7, f, R
7, f: 7, v, R
7, v: 7, n, R
7, n: 7, l, R
7, l: 7, h, R
7, h: 7, u, R
7, u: 7, e, R
7, .: 7, ., R
7, _: 8, _, L
10, a: 10, a, L
10, b: 10, b, L
10, c: 10, c, L
10, d: 10, d, L
10, e: 10, e, L
10, f: 10, f, L
10, g: 10, g, L
10, h: 10, h, L
10, i: 10, i, L
10, j: 10, j, L
10, k: 10, k, L
10, l: 10, l, L
10, m: 10, m, L
10, n: 10, n, L
10, o: 10, o, L
10, p: 10, p, L
10, q: 10, q, L
10, r: 10, r, L
10, s: 10, s, L
10, t: 10, t, L
10, u: 10, u, L
10, v: 10, v, L
10, w: 10, w, L
10, x: 10, x, L
10, y: 10, y, L
10, z: 10, z, L
10, .: 10, ., L
10, >: 11, >, R
9, a: 9, r, R
9, r: 9, z, R
9, z: 9, a, R
9, b: 9, x, R
9, x: 9, s, R
9, s: 9, t, R
9, t: 9, c, R
9, c: 9, b, R
9, p: 9, y, R
9, y: 9, i, R
9, i: 9, k, R
9, k: 9, d, R
9, d: 9, m, R
9, m: 9, q, R
9, q: 9, p, R
9, e: 9, o, R
9, o: 9, w, R
9, w: 9, j, R
9, j: 9, g, R
9, g: 9, f, R
9, f: 9, v, R
9, v: 9, n, R
9, n: 9, l, R
9, l: 9, h, R
9, h: 9, u, R
9, u: 9, e, R
9, .: 9, ., R
9, _: 10, _, L
12, a: 12, a, L
12, b: 12, b, L
12, c: 12, c, L
12, d: 12, d, L
12, e: 12, e, L
12, f: 12, f, L
12, g: 12, g, L
12, h: 12, h, L
12, i: 12, i, L
12, j: 12, j, L
12, k: 12, k, L
12, l: 12, l, L
12, m: 12, m, L
12, n: 12, n, L
12, o: 12, o, L
12, p: 12, p, L
12, q: 12, q, L
12, r: 12, r, L
12, s: 12, s, L
12, t: 12, t, L
12, u: 12, u, L
12, v: 12, v, L
12, w: 12, w, L
12, x: 12, x, L
12, y: 12, y, L
12, z: 12, z, L
12, .: 12, ., L
12, >: 13, >, R
11, a: 11, r, R
11, r: 11, z, R
11, z: 11, a, R
11, b: 11, x, R
11, x: 11, s, R
11, s: 11, t, R
11, t: 11, c, R
11, c: 11, b, R
11, p: 11, y, R
11, y: 11, i, R
11, i: 11, k, R
11, k: 11, d, R
11, d: 11, m, R
11, m: 11, q, R
11, q: 11, p, R
11, e: 11, o, R
11, o: 11, w, R
11, w: 11, j, R
11, j: 11, g, R
11, g: 11, f, R
11, f: 11, v, R
11, v: 11, n, R
11, n: 11, l, R
11, l: 11, h, R
11, h: 11, u, R
11, u: 11, e, R
11, .: 11, ., R
11, _: 12, _, L
14, a: 14, a, L
14, b: 14, b, L
14, c: 14, c, L
14, d: 14, d, L
14, e: 14, e, L
14, f: 14, f, L
14, g: 14, g, L
14, h: 14, h, L
14, i: 14, i, L
14, j: 14, j, L
14, k: 14, k, L
14, l: 14, l, L
14, m: 14, m, L
14, n: 14, n, L
14, o: 14, o, L
14, p: 14, p, L
14, q: 14, q, L
14, r: 14, r, L
14, s: 14, s, L
14, t: 14, t, L
14, u: 14, u, L
14, v: 14, v, L
14, w: 14, w, L
14, x: 14, x, L
14, y: 14, y, L
14, z: 14, z, L
14, .: 14, ., L
14, >: 15, >, R
13, a: 13, r, R
13, r: 13, z, R
13, z: 13, a, R
13, b: 13, x, R
13, x: 13, s, R
13, s: 13, t, R
13, t: 13, c, R
13, c: 13, b, R
13, p: 13, y, R
13, y: 13, i, R
13, i: 13, k, R
13, k: 13, d, R
13, d: 13, m, R
13, m: 13, q, R
13, q: 13, p, R
13, e: 13, o, R
13, o: 13, w, R
13, w: 13, j, R
13, j: 13, g, R
13, g: 13, f, R
13, f: 13, v, R
13, v: 13, n, R
13, n: 13, l, R
13, l: 13, h, R
13, h: 13, u, R
13, u: 13, e, R
13, .: 13, ., R
13, _: 14, _, L
16, a: 16, a, L
16, b: 16, b, L
16, c: 16, c, L
16, d: 16, d, L
16, e: 16, e, L
16, f: 16, f, L
16, g: 16, g, L
16, h: 16, h, L
16, i: 16, i, L
16, j: 16, j, L
16, k: 16, k, L
16, l: 16, l, L
16, m: 16, m, L
16, n: 16, n, L
16, o: 16, o, L
16, p: 16, p, L
16, q: 16, q, L
16, r: 16, r, L
16, s: 16, s, L
16, t: 16, t, L
16, u: 16, u, L
16, v: 16, v, L
16, w: 16, w, L
16, x: 16, x, L
16, y: 16, y, L
16, z: 16, z, L
16, .: 16, ., L
16, >: 17, >, R
15, a: 15, r, R
15, r: 15, z, R
15, z: 15, a, R
15, b: 15, x, R
15, x: 15, s, R
15, s: 15, t, R
15, t: 15, c, R
15, c: 15, b, R
15, p: 15, y, R
15, y: 15, i, R
15, i: 15, k, R
15, k: 15, d, R
15, d: 15, m, R
15, m: 15, q, R
15, q: 15, p, R
15, e: 15, o, R
15, o: 15, w, R
15, w: 15, j, R
15, j: 15, g, R
15, g: 15, f, R
15, f: 15, v, R
15, v: 15, n, R
15, n: 15, l, R
15, l: 15, h, R
15, h: 15, u, R
15, u: 15, e, R
15, .: 15, ., R
15, _: 16, _, L
18, a: 18, a, L
18, b: 18, b, L
18, c: 18, c, L
18, d: 18, d, L
18, e: 18, e, L
18, f: 18, f, L
18, g: 18, g, L
18, h: 18, h, L
18, i: 18, i, L
18, j: 18, j, L
18, k: 18, k, L
18, l: 18, l, L
18, m: 18, m, L
18, n: 18, n, L
18, o: 18, o, L
18, p: 18, p, L
18, q: 18, q, L
18, r: 18, r, L
18, s: 18, s, L
18, t: 18, t, L
18, u: 18, u, L
18, v: 18, v, L
18, w: 18, w, L
18, x: 18, x, L
18, y: 18, y, L
18, z: 18, z, L
18, .: 18, ., L
18, >: 19, >, R
17, a: 17, r, R
17, r: 17, z, R
17, z: 17, a, R
17, b: 17, x, R
17, x: 17, s, R
17, s: 17, t, R
17, t: 17, c, R
17, c: 17, b, R
17, p: 17, y, R
17, y: 17, i, R
17, i: 17, k, R
17, k: 17, d, R
17, d: 17, m, R
17, m: 17, q, R
17, q: 17, p, R
17, e: 17, o, R
17, o: 17, w, R
17, w: 17, j, R
17, j: 17, g, R
17, g: 17, f, R
17, f: 17, v, R
17, v: 17, n, R
17, n: 17, l, R
17, l: 17, h, R
17, h: 17, u, R
17, u: 17, e, R
17, .: 17, ., R
17, _: 18, _, L
20, a: 20, a, L
20, b: 20, b, L
20, c: 20, c, L
20, d: 20, d, L
20, e: 20, e, L
20, f: 20, f, L
20, g: 20, g, L
20, h: 20, h, L
20, i: 20, i, L
20, j: 20, j, L
20, k: 20, k, L
20, l: 20, l, L
20, m: 20, m, L
20, n: 20, n, L
20, o: 20, o, L
20, p: 20, p, L
20, q: 20, q, L
20, r: 20, r, L
20, s: 20, s, L
20, t: 20, t, L
20, u: 20, u, L
20, v: 20, v, L
20, w: 20, w, L
20, x: 20, x, L
20, y: 20, y, L
20, z: 20, z, L
20, .: 20, ., L
20, >: 21, >, R
19, a: 19, r, R
19, r: 19, z, R
19, z: 19, a, R
19, b: 19, x, R
19, x: 19, s, R
19, s: 19, t, R
19, t: 19, c, R
19, c: 19, b, R
19, p: 19, y, R
19, y: 19, i, R
19, i: 19, k, R
19, k: 19, d, R
19, d: 19, m, R
19, m: 19, q, R
19, q: 19, p, R
19, e: 19, o, R
19, o: 19, w, R
19, w: 19, j, R
19, j: 19, g, R
19, g: 19, f, R
19, f: 19, v, R
19, v: 19, n, R
19, n: 19, l, R
19, l: 19, h, R
19, h: 19, u, R
19, u: 19, e, R
19, .: 19, ., R
19, _: 20, _, L
22, a: 22, a, L
22, b: 22, b, L
22, c: 22, c, L
22, d: 22, d, L
22, e: 22, e, L
22, f: 22, f, L
22, g: 22, g, L
22, h: 22, h, L
22, i: 22, i, L
22, j: 22, j, L
22, k: 22, k, L
22, l: 22, l, L
22, m: 22, m, L
22, n: 22, n, L
22, o: 22, o, L
22, p: 22, p, L
22, q: 22, q, L
22, r: 22, r, L
22, s: 22, s, L
22, t: 22, t, L
22, u: 22, u, L
22, v: 22, v, L
22, w: 22, w, L
22, x: 22, x, L
22, y: 22, y, L
22, z: 22, z, L
22, .: 22, ., L
22, >: 23, >, R
21, a: 21, r, R
21, r: 21, z, R
21, z: 21, a, R
21, b: 21, x, R
21, x: 21, s, R
21, s: 21, t, R
21, t: 21, c, R
21, c: 21, b, R
21, p: 21, y, R
21, y: 21, i, R
21, i: 21, k, R
21, k: 21, d, R
21, d: 21, m, R
21, m: 21, q, R
21, q: 21, p, R
21, e: 21, o, R
21, o: 21, w, R
21, w: 21, j, R
21, j: 21, g, R
21, g: 21, f, R
21, f: 21, v, R
21, v: 21, n, R
21, n: 21, l, R
21, l: 21, h, R
21, h: 21, u, R
21, u: 21, e, R
21, .: 21, ., R
21, _: 22, _, L
24, a: 24, a, L
24, b: 24, b, L
24, c: 24, c, L
24, d: 24, d, L
24, e: 24, e, L
24, f: 24, f, L
24, g: 24, g, L
24, h: 24, h, L
24, i: 24, i, L
24, j: 24, j, L
24, k: 24, k, L
24, l: 24, l, L
24, m: 24, m, L
24, n: 24, n, L
24, o: 24, o, L
24, p: 24, p, L
24, q: 24, q, L
24, r: 24, r, L
24, s: 24, s, L
24, t: 24, t, L
24, u: 24, u, L
24, v: 24, v, L
24, w: 24, w, L
24, x: 24, x, L
24, y: 24, y, L
24, z: 24, z, L
24, .: 24, ., L
24, >: 25, >, R
23, a: 23, r, R
23, r: 23, z, R
23, z: 23, a, R
23, b: 23, x, R
23, x: 23, s, R
23, s: 23, t, R
23, t: 23, c, R
23, c: 23, b, R
23, p: 23, y, R
23, y: 23, i, R
23, i: 23, k, R
23, k: 23, d, R
23, d: 23, m, R
23, m: 23, q, R
23, q: 23, p, R
23, e: 23, o, R
23, o: 23, w, R
23, w: 23, j, R
23, j: 23, g, R
23, g: 23, f, R
23, f: 23, v, R
23, v: 23, n, R
23, n: 23, l, R
23, l: 23, h, R
23, h: 23, u, R
23, u: 23, e, R
23, .: 23, ., R
23, _: 24, _, L
26, a: 26, a, L
26, b: 26, b, L
26, c: 26, c, L
26, d: 26, d, L
26, e: 26, e, L
26, f: 26, f, L
26, g: 26, g, L
26, h: 26, h, L
26, i: 26, i, L
26, j: 26, j, L
26, k: 26, k, L
26, l: 26, l, L
26, m: 26, m, L
26, n: 26, n, L
26, o: 26, o, L
26, p: 26, p, L
26, q: 26, q, L
26, r: 26, r, L
26, s: 26, s, L
26, t: 26, t, L
26, u: 26, u, L
26, v: 26, v, L
26, w: 26, w, L
26, x: 26, x, L
26, y: 26, y, L
26, z: 26, z, L
26, .: 26, ., L
26, >: 27, >, R
25, a: 25, r, R
25, r: 25, z, R
25, z: 25, a, R
25, b: 25, x, R
25, x: 25, s, R
25, s: 25, t, R
25, t: 25, c, R
25, c: 25, b, R
25, p: 25, y, R
25, y: 25, i, R
25, i: 25, k, R
25, k: 25, d, R
25, d: 25, m, R
25, m: 25, q, R
25, q: 25, p, R
25, e: 25, o, R
25, o: 25, w, R
25, w: 25, j, R
25, j: 25, g, R
25, g: 25, f, R
25, f: 25, v, R
25, v: 25, n, R
25, n: 25, l, R
25, l: 25, h, R
25, h: 25, u, R
25, u: 25, e, R
25, .: 25, ., R
25, _: 26, _, L
28, a: 28, a, L
28, b: 28, b, L
28, c: 28, c, L
28, d: 28, d, L
28, e: 28, e, L
28, f: 28, f, L
28, g: 28, g, L
28, h: 28, h, L
28, i: 28, i, L
28, j: 28, j, L
28, k: 28, k, L
28, l: 28, l, L
28, m: 28, m, L
28, n: 28, n, L
28, o: 28, o, L
28, p: 28, p, L
28, q: 28, q, L
28, r: 28, r, L
28, s: 28, s, L
28, t: 28, t, L
28, u: 28, u, L
28, v: 28, v, L
28, w: 28, w, L
28, x: 28, x, L
28, y: 28, y, L
28, z: 28, z, L
28, .: 28, ., L
28, >: 29, >, R
27, a: 27, r, R
27, r: 27, z, R
27, z: 27, a, R
27, b: 27, x, R
27, x: 27, s, R
27, s: 27, t, R
27, t: 27, c, R
27, c: 27, b, R
27, p: 27, y, R
27, y: 27, i, R
27, i: 27, k, R
27, k: 27, d, R
27, d: 27, m, R
27, m: 27, q, R
27, q: 27, p, R
27, e: 27, o, R
27, o: 27, w, R
27, w: 27, j, R
27, j: 27, g, R
27, g: 27, f, R
27, f: 27, v, R
27, v: 27, n, R
27, n: 27, l, R
27, l: 27, h, R
27, h: 27, u, R
27, u: 27, e, R
27, .: 27, ., R
27, _: 28, _, L
30, a: 30, a, L
30, b: 30, b, L
30, c: 30, c, L
30, d: 30, d, L
30, e: 30, e, L
30, f: 30, f, L
30, g: 30, g, L
30, h: 30, h, L
30, i: 30, i, L
30, j: 30, j, L
30, k: 30, k, L
30, l: 30, l, L
30, m: 30, m, L
30, n: 30, n, L
30, o: 30, o, L
30, p: 30, p, L
30, q: 30, q, L
30, r: 30, r, L
30, s: 30, s, L
30, t: 30, t, L
30, u: 30, u, L
30, v: 30, v, L
30, w: 30, w, L
30, x: 30, x, L
30, y: 30, y, L
30, z: 30, z, L
30, .: 30, ., L
30, >: 31, >, R
29, a: 29, r, R
29, r: 29, z, R
29, z: 29, a, R
29, b: 29, x, R
29, x: 29, s, R
29, s: 29, t, R
29, t: 29, c, R
29, c: 29, b, R
29, p: 29, y, R
29, y: 29, i, R
29, i: 29, k, R
29, k: 29, d, R
29, d: 29, m, R
29, m: 29, q, R
29, q: 29, p, R
29, e: 29, o, R
29, o: 29, w, R
29, w: 29, j, R
29, j: 29, g, R
29, g: 29, f, R
29, f: 29, v, R
29, v: 29, n, R
29, n: 29, l, R
29, l: 29, h, R
29, h: 29, u, R
29, u: 29, e, R
29, .: 29, ., R
29, _: 30, _, L
32, a: 32, a, L
32, b: 32, b, L
32, c: 32, c, L
32, d: 32, d, L
32, e: 32, e, L
32, f: 32, f, L
32, g: 32, g, L
32, h: 32, h, L
32, i: 32, i, L
32, j: 32, j, L
32, k: 32, k, L
32, l: 32, l, L
32, m: 32, m, L
32, n: 32, n, L
32, o: 32, o, L
32, p: 32, p, L
32, q: 32, q, L
32, r: 32, r, L
32, s: 32, s, L
32, t: 32, t, L
32, u: 32, u, L
32, v: 32, v, L
32, w: 32, w, L
32, x: 32, x, L
32, y: 32, y, L
32, z: 32, z, L
32, .: 32, ., L
32, >: 33, >, R
31, a: 31, r, R
31, r: 31, z, R
31, z: 31, a, R
31, b: 31, x, R
31, x: 31, s, R
31, s: 31, t, R
31, t: 31, c, R
31, c: 31, b, R
31, p: 31, y, R
31, y: 31, i, R
31, i: 31, k, R
31, k: 31, d, R
31, d: 31, m, R
31, m: 31, q, R
31, q: 31, p, R
31, e: 31, o, R
31, o: 31, w, R
31, w: 31, j, R
31, j: 31, g, R
31, g: 31, f, R
31, f: 31, v, R
31, v: 31, n, R
31, n: 31, l, R
31, l: 31, h, R
31, h: 31, u, R
31, u: 31, e, R
31, .: 31, ., R
31, _: 32, _, L
34, a: 34, a, L
34, b: 34, b, L
34, c: 34, c, L
34, d: 34, d, L
34, e: 34, e, L
34, f: 34, f, L
34, g: 34, g, L
34, h: 34, h, L
34, i: 34, i, L
34, j: 34, j, L
34, k: 34, k, L
34, l: 34, l, L
34, m: 34, m, L
34, n: 34, n, L
34, o: 34, o, L
34, p: 34, p, L
34, q: 34, q, L
34, r: 34, r, L
34, s: 34, s, L
34, t: 34, t, L
34, u: 34, u, L
34, v: 34, v, L
34, w: 34, w, L
34, x: 34, x, L
34, y: 34, y, L
34, z: 34, z, L
34, .: 34, ., L
34, >: 35, >, R
33, a: 33, r, R
33, r: 33, z, R
33, z: 33, a, R
33, b: 33, x, R
33, x: 33, s, R
33, s: 33, t, R
33, t: 33, c, R
33, c: 33, b, R
33, p: 33, y, R
33, y: 33, i, R
33, i: 33, k, R
33, k: 33, d, R
33, d: 33, m, R
33, m: 33, q, R
33, q: 33, p, R
33, e: 33, o, R
33, o: 33, w, R
33, w: 33, j, R
33, j: 33, g, R
33, g: 33, f, R
33, f: 33, v, R
33, v: 33, n, R
33, n: 33, l, R
33, l: 33, h, R
33, h: 33, u, R
33, u: 33, e, R
33, .: 33, ., R
33, _: 34, _, L
36, a: 36, a, L
36, b: 36, b, L
36, c: 36, c, L
36, d: 36, d, L
36, e: 36, e, L
36, f: 36, f, L
36, g: 36, g, L
36, h: 36, h, L
36, i: 36, i, L
36, j: 36, j, L
36, k: 36, k, L
36, l: 36, l, L
36, m: 36, m, L
36, n: 36, n, L
36, o: 36, o, L
36, p: 36, p, L
36, q: 36, q, L
36, r: 36, r, L
36, s: 36, s, L
36, t: 36, t, L
36, u: 36, u, L
36, v: 36, v, L
36, w: 36, w, L
36, x: 36, x, L
36, y: 36, y, L
36, z: 36, z, L
36, .: 36, ., L
36, >: 37, >, R
35, a: 35, r, R
35, r: 35, z, R
35, z: 35, a, R
35, b: 35, x, R
35, x: 35, s, R
35, s: 35, t, R
35, t: 35, c, R
35, c: 35, b, R
35, p: 35, y, R
35, y: 35, i, R
35, i: 35, k, R
35, k: 35, d, R
35, d: 35, m, R
35, m: 35, q, R
35, q: 35, p, R
35, e: 35, o, R
35, o: 35, w, R
35, w: 35, j, R
35, j: 35, g, R
35, g: 35, f, R
35, f: 35, v, R
35, v: 35, n, R
35, n: 35, l, R
35, l: 35, h, R
35, h: 35, u, R
35, u: 35, e, R
35, .: 35, ., R
35, _: 36, _, L
38, a: 38, a, L
38, b: 38, b, L
38, c: 38, c, L
38, d: 38, d, L
38, e: 38, e, L
38, f: 38, f, L
38, g: 38, g, L
38, h: 38, h, L
38, i: 38, i, L
38, j: 38, j, L
38, k: 38, k, L
38, l: 38, l, L
38, m: 38, m, L
38, n: 38, n, L
38, o: 38, o, L
38, p: 38, p, L
38, q: 38, q, L
38, r: 38, r, L
38, s: 38, s, L
38, t: 38, t, L
38, u: 38, u, L
38, v: 38, v, L
38, w: 38, w, L
38, x: 38, x, L
38, y: 38, y, L
38, z: 38, z, L
38, .: 38, ., L
38, >: 39, >, R
37, a: 37, r, R
37, r: 37, z, R
37, z: 37, a, R
37, b: 37, x, R
37, x: 37, s, R
37, s: 37, t, R
37, t: 37, c, R
37, c: 37, b, R
37, p: 37, y, R
37, y: 37, i, R
37, i: 37, k, R
37, k: 37, d, R
37, d: 37, m, R
37, m: 37, q, R
37, q: 37, p, R
37, e: 37, o, R
37, o: 37, w, R
37, w: 37, j, R
37, j: 37, g, R
37, g: 37, f, R
37, f: 37, v, R
37, v: 37, n, R
37, n: 37, l, R
37, l: 37, h, R
37, h: 37, u, R
37, u: 37, e, R
37, .: 37, ., R
37, _: 38, _, L
40, a: 40, a, L
40, b: 40, b, L
40, c: 40, c, L
40, d: 40, d, L
40, e: 40, e, L
40, f: 40, f, L
40, g: 40, g, L
40, h: 40, h, L
40, i: 40, i, L
40, j: 40, j, L
40, k: 40, k, L
40, l: 40, l, L
40, m: 40, m, L
40, n: 40, n, L
40, o: 40, o, L
40, p: 40, p, L
40, q: 40, q, L
40, r: 40, r, L
40, s: 40, s, L
40, t: 40, t, L
40, u: 40, u, L
40, v: 40, v, L
40, w: 40, w, L
40, x: 40, x, L
40, y: 40, y, L
40, z: 40, z, L
40, .: 40, ., L
40, >: 41, >, R
39, a: 39, r, R
39, r: 39, z, R
39, z: 39, a, R
39, b: 39, x, R
39, x: 39, s, R
39, s: 39, t, R
39, t: 39, c, R
39, c: 39, b, R
39, p: 39, y, R
39, y: 39, i, R
39, i: 39, k, R
39, k: 39, d, R
39, d: 39, m, R
39, m: 39, q, R
39, q: 39, p, R
39, e: 39, o, R
39, o: 39, w, R
39, w: 39, j, R
39, j: 39, g, R
39, g: 39, f, R
39, f: 39, v, R
39, v: 39, n, R
39, n: 39, l, R
39, l: 39, h, R
39, h: 39, u, R
39, u: 39, e, R
39, .: 39, ., R
39, _: 40, _, L
42, a: 42, a, L
42, b: 42, b, L
42, c: 42, c, L
42, d: 42, d, L
42, e: 42, e, L
42, f: 42, f, L
42, g: 42, g, L
42, h: 42, h, L
42, i: 42, i, L
42, j: 42, j, L
42, k: 42, k, L
42, l: 42, l, L
42, m: 42, m, L
42, n: 42, n, L
42, o: 42, o, L
42, p: 42, p, L
42, q: 42, q, L
42, r: 42, r, L
42, s: 42, s, L
42, t: 42, t, L
42, u: 42, u, L
42, v: 42, v, L
42, w: 42, w, L
42, x: 42, x, L
42, y: 42, y, L
42, z: 42, z, L
42, .: 42, ., L
42, >: 43, >, R
41, a: 41, r, R
41, r: 41, z, R
41, z: 41, a, R
41, b: 41, x, R
41, x: 41, s, R
41, s: 41, t, R
41, t: 41, c, R
41, c: 41, b, R
41, p: 41, y, R
41, y: 41, i, R
41, i: 41, k, R
41, k: 41, d, R
41, d: 41, m, R
41, m: 41, q, R
41, q: 41, p, R
41, e: 41, o, R
41, o: 41, w, R
41, w: 41, j, R
41, j: 41, g, R
41, g: 41, f, R
41, f: 41, v, R
41, v: 41, n, R
41, n: 41, l, R
41, l: 41, h, R
41, h: 41, u, R
41, u: 41, e, R
41, .: 41, ., R
41, _: 42, _, L
44, a: 44, a, L
44, b: 44, b, L
44, c: 44, c, L
44, d: 44, d, L
44, e: 44, e, L
44, f: 44, f, L
44, g: 44, g, L
44, h: 44, h, L
44, i: 44, i, L
44, j: 44, j, L
44, k: 44, k, L
44, l: 44, l, L
44, m: 44, m, L
44, n: 44, n, L
44, o: 44, o, L
44, p: 44, p, L
44, q: 44, q, L
44, r: 44, r, L
44, s: 44, s, L
44, t: 44, t, L
44, u: 44, u, L
44, v: 44, v, L
44, w: 44, w, L
44, x: 44, x, L
44, y: 44, y, L
44, z: 44, z, L
44, .: 44, ., L
44, >: 45, >, R
43, a: 43, r, R
43, r: 43, z, R
43, z: 43, a, R
43, b: 43, x, R
43, x: 43, s, R
43, s: 43, t, R
43, t: 43, c, R
43, c: 43, b, R
43, p: 43, y, R
43, y: 43, i, R
43, i: 43, k, R
43, k: 43, d, R
43, d: 43, m, R
43, m: 43, q, R
43, q: 43, p, R
43, e: 43, o, R
43, o: 43, w, R
43, w: 43, j, R
43, j: 43, g, R
43, g: 43, f, R
43, f: 43, v, R
43, v: 43, n, R
43, n: 43, l, R
43, l: 43, h, R
43, h: 43, u, R
43, u: 43, e, R
43, .: 43, ., R
43, _: 44, _, L
46, a: 46, a, L
46, b: 46, b, L
46, c: 46, c, L
46, d: 46, d, L
46, e: 46, e, L
46, f: 46, f, L
46, g: 46, g, L
46, h: 46, h, L
46, i: 46, i, L
46, j: 46, j, L
46, k: 46, k, L
46, l: 46, l, L
46, m: 46, m, L
46, n: 46, n, L
46, o: 46, o, L
46, p: 46, p, L
46, q: 46, q, L
46, r: 46, r, L
46, s: 46, s, L
46, t: 46, t, L
46, u: 46, u, L
46, v: 46, v, L
46, w: 46, w, L
46, x: 46, x, L
46, y: 46, y, L
46, z: 46, z, L
46, .: 46, ., L
46, >: 47, >, R
45, a: 45, r, R
45, r: 45, z, R
45, z: 45, a, R
45, b: 45, x, R
45, x: 45, s, R
45, s: 45, t, R
45, t: 45, c, R
45, c: 45, b, R
45, p: 45, y, R
45, y: 45, i, R
